name,index,value,fix
FF,1,0.602,FALSE
KA1,2,0.651,FALSE
FR,3,1,TRUE
D2,4,0.5,TRUE
KEL,5,0.152,FALSE
VD,6,2.42,FALSE
KD,7,1.44,FALSE
KINT,8,0.105,FALSE
KSI,9,0.181,FALSE
KOFF,10,0,TRUE
KMT,11,0.0728,FALSE
KBB1,12,0,TRUE
KTT,13,0.00862,FALSE
NB0,14,1.55,FALSE
SC1,15,3.15,FALSE
SM1,16,34.7,FALSE
SM2,17,32.2,FALSE
SM3,18,0,TRUE
